filename,species,individual,Name,temperature,date,preystartdist,timeprojstart,maxproj,timemaxproj,peakprojvel,timemaxprojvel,peakprojacc,timemaxprojacc,peakmmsprojpower,timemaxprojpower,maxlunge,timemaxlunge,peaklungevel,timemaxlungevel,peaklungeacc,timemmaxlungeacc,peakbmslungepower,timemaxlungepower,maxreach,timemaxreach,tonguestartdist
Elu 002 (05) 03-Dec-24_18-53-49_00914xypts.csv,El,2,El2,5,3-Dec-24,1.894882251,0.020333333,5.264457017,0.026333333,1.14,0.023333333,1470,0.020666667,561.444,0.021666667,0.41346114,0.079666667,0.0065,0.070333333,2.505,0.055,0.00341874,0.056333333,5.27652453,0.026333333,1.894882251
Elu 002 (05) 03-Dec-24_18-58-12_00915xypts.csv,El,2,El2,5,3-Dec-24,3.451101789,0.139666667,5.239562225,0.145333333,1.24,0.142,1713,0.14,704.6415,0.140666667,0.927559187,0.157666667,0.00529,0.114333333,1.326,0.2,0.0157287,0.188666667,6.059848668,0.145333333,3.600522894
Elu 002 (05) 03-Dec-24_18-59-58_00916xypts.csv,El,2,El2,5,3-Dec-24,12.44750487,0.478,7.33773126,0.484666667,1.64,0.481666667,1623,0.479333333,1046.76,0.480333333,4.614194667,0.557,0.00967,0.462333333,0.765,0.482666667,0.0049773,0.484333333,11.12676858,0.484666667,9.398865931
Elu 002 (05) 03-Dec-24_19-08-10_00918xypts.csv,El,2,El2,5,3-Dec-24,8.939282849,0.031333333,6.714762401,0.041333333,1.22,0.037666667,888,0.035,461.64678,0.036,2.368576394,0.133666667,0.00977,0.089,0.861,0.079,0.00526932,0.082,7.653994825,0.041666667,8.533371063
Elu 002 (05) 05-Nov-24_19-06-55_00851xypts.csv,El,2,El2,5,5-Nov-24,12.83030154,0.082666667,7.798086971,0.088666667,1.78,0.085333333,2133,0.083,1308.3036,0.083666667,1.584571255,0.123333333,0.0112,0.076666667,2.052,0.152666667,0.01063104,0.072333333,8.746184557,0.088666667,12.03895338
Elu 002 (05) 08-Oct-24_18-10-30_00734xypts.csv,El,2,El2,5,8-Oct-24,3.597841365,0.003666667,5.480753405,0.064333333,0.571,0.009666667,435,0.007,103.70244,0.008,2.613042718,0.127333333,0.012,0.115,1.14,0.006666667,0.00760242,0.009333333,6.766230659,0.075666667,3.596728932
Elu 002 (05) 08-Oct-24_18-14-31_00735xypts.csv,El,2,El2,5,8-Oct-24,9.620329156,0.176333333,6.903495509,0.185333333,1.44,0.181666667,1503,0.179,785.57508,0.18,1.501696472,0.191666667,0.0227,0.052666667,7.38,0.044333333,0.0396111,0.047666667,8.395057154,0.185333333,9.415462775
Elu 002 (05) 08-Oct-24_18-17-48_00736xypts.csv,El,2,El2,5,8-Oct-24,3.654068086,0.276333333,6.062740778,0.284,1.15,0.28,1461,0.277,559.99647,0.278333333,4.608225896,0.366666667,0.0239,0.119666667,9.45,0.086333333,0.0421056,0.086666667,10.22951308,0.324333333,4.082401084
Elu 002 (05) 08-Oct-24_18-21-39_00737xypts.csv,El,2,El2,5,8-Oct-24,10.52774082,0.274,8.879380284,0.281333333,1.81,0.277666667,1986,0.275333333,1325.835,0.276333333,0.702537825,0.290666667,0.0121,0.273333333,1.641,0.332,0.0109731,0.269666667,9.518851214,0.281333333,10.14678069
Elu 002 (05) 08-Oct-24_18-27-17_00739xypts.csv,El,2,El2,5,8-Oct-24,8.350887095,0.346333333,6.761358665,0.352666667,1.19,0.349666667,1290,0.347333333,604.00065,0.348333333,6.25611353,0.431,0.0237,0.411666667,3.15,0.452666667,0.0653184,0.44,10.14940558,0.353,7.547141736
